A CAPPELLA;4.2;1.43;4.2;-7.45
ABBY;8.49;9.69;0.37;-0.41
ABEL;5.5;9.87;4.39;-3.29
ABERCROMBIE;1.79;-0.86;1.38;6.46
ABRACADABRA;5.44;8.6;2.65;5.64
ACE;0.19;-2.38;1.7;2.46
ACHILLES;9.35;9.77;3.58;-2.05
ACTION;3.18;8.29;4.32;7.21
ADMIRAL;1.14;-3.29;2.76;-5.67
ADONIS;9.16;7.43;1.49;9.91
ADRIATIC;2.4;6.91;0.97;-5.39
AESOP;6.25;-1.05;1.82;3.42
AFFINITY;1.58;6.98;4.09;-3.68
AJAX;5.53;-4.25;4.97;8.02
AKIRA;5.96;-1.07;1.64;-2.65
ALADDIN;5.49;1.85;0.11;-0.33
ALASTAIR;1.51;6.12;3.12;9.79
ALCATRAZ;9.23;-2.18;0.24;2.51
ALCHEMY;8.42;-3.9;2.56;-2.7
ALDO;8.4;-4.12;1.03;-9.55
ALEXIA;2.47;-4.41;2.85;-6.82
ALFALFA;0.14;9.97;4.03;7.31
ALGER;4.92;-2.26;2.96;1.55
ALI BABA;6.23;-0.44;0.06;0.84
ALLEGRO;6.14;-0.59;1.96;8.88
ALOYSIUS;5.65;-0.27;0.32;9.72
ALPACA;0.66;0.77;0.5;-2.1
ALPHA;4.65;9.2;3.53;8.84
ALPINE;3.85;-2.07;1.18;1.45
AMABLE;0.68;6.19;4.11;2.33
AMARETTO;2.89;2.97;0.9;-1.45
AMAZON;9.25;1.03;2.22;-0.79
AMBASSADOR;7.27;9.93;4.24;-0.45
AMBER;4.97;8.31;3.05;-8.58
AMBROSIA;6.49;8.37;3.34;-6.81
AMETHYST;0.96;4.82;3.98;-1.0
AMIGO;5.15;0.68;0.94;-7.66
AMMO;2.82;3.39;4.19;-7.87
AMORE;8.17;-2.69;4.38;1.02
AMOS;6.34;1.68;2.93;4.83
AMPERSAND;1.26;-1.61;4.93;9.83
ANACONDA;0.19;3.38;3.64;0.21
ANAIS;4.39;3.66;2.63;-7.97
ANASTASIA;7.73;-1.71;2.54;-8.28
ANDALUSIA;8.44;6.57;3.49;-2.45
